login_id,repo_count,follower_count,member_since
markkorput,143.0,21.0, 2010-02-18 
pereferrera,19.0,47.0, 2010-04-27 
vizanto,55.0,60.0, 2010-07-08 
gijzelaerr,167.0,154.0, 2010-07-08 
nathan-gs,54.0,24.0, 2010-07-13 
domenicosolazzo,426.0,206.0, 2010-09-03 
michielbdejong,402.0,282.0, 2010-09-20 
isakib,244.0,7.0, 2010-11-11 
rickbeerendonk,74.0,81.0, 2010-11-12 
mschmulen,106.0,83.0, 2010-11-16 
andresmasegosa,12.0,70.0, 2010-11-25 
jkakar,66.0,76.0, 2011-01-13 
rbeene,93.0,40.0, 2009-04-02 
pechorin,14.0,77.0, 2010-03-19 
gregdek,50.0,96.0, 2010-04-25 
forresto,108.0,192.0, 2010-09-11 
specious,40.0,151.0, 2010-10-23 
MattMcFarland,139.0,243.0, 2011-02-17 
mrklaw,2.0,1.0, 2011-11-14 
mohitmun,86.0,75.0, 2012-03-25 
kialam,31.0,5.0, 2012-09-06 
yikaraman,34.0,5.0, 2013-09-18 
garrisonreid,10.0,4.0, 2014-07-17 
bitsondatadev,28.0,413.0, 2014-08-25 
dalinnen,1.0,5.0, 2014-11-04 
ypersyntelykos,61.0,669.0, 2014-12-18 
jbelsky,28.0,6.0, 2015-01-29 
y-ke,7.0,11.0, 2015-10-24 
chrisketchel,0.0,1.0, 2015-12-16 
zhanknight,12.0,2.0, 2016-07-16 
dehine,10.0,1.0, 2017-01-16 
seabre,105.0,71.0, 2008-12-22 
biomunky,51.0,22.0, 2009-03-26 
carld,130.0,120.0, 2009-07-14 
catull,33.0,34.0, 2009-11-07 
sidorares,163.0,788.0, 2009-12-28 
deltam,38.0,33.0, 2010-01-31 
karad,55.0,138.0, 2010-02-08 
honnung,2.0,1.0, 2011-02-22 
osteotek,23.0,22.0, 2011-03-04 
janfilips,14.0,47.0, 2011-06-23 
hemantasapkota,46.0,108.0, 2011-07-05 
rcullito,67.0,43.0, 2011-07-12 
yenda,70.0,49.0, 2011-11-08 
fsquillace,64.0,80.0, 2011-11-26 
kumavis,436.0,1167.0, 2012-02-26 
zhchang,20.0,18.0, 2012-03-12 
nabn,27.0,37.0, 2012-04-30 
rain1024,158.0,281.0, 2012-05-26 
viralpandya,14.0,15.0, 2012-07-26 
bbss,45.0,35.0, 2012-11-09 
priornix,9.0,21.0, 2013-02-25 
vladanghene,71.0,33.0, 2013-03-05 
akashaku,7.0,0.0, 2013-04-09 
kalamaznik,16.0,210.0, 2013-04-15 
erdos,66.0,211.0, 2013-09-27 
zhenglu0,37.0,699.0, 2013-10-07 
STRd6,234.0,782.0, 2008-07-30 
ronenhamias,47.0,1589.0, 2012-05-04 
kinimodmeyer,3.0,14.0, 2013-02-26 
laxman954,69.0,9.0, 2013-03-13 
cchery101,122.0,5.0, 2014-02-14 
Sleepyhead-google,133.0,50.0, 2014-08-25 
sonmio,3.0,28.0, 2017-01-09 
pablogarriga,32.0,6.0, 2017-09-04 
opengineer,22.0,3043.0, 2017-10-16 
shimarin,13.0,20.0, 2008-05-26 
fortune,11.0,6.0, 2009-01-06 
justinshenk,78.0,272.0, 2014-12-22 
steffanjensen,107.0,411.0, 2015-07-18 
qingshen0802,55.0,99.0, 2017-02-06 
verejava,5.0,1000.0, 2018-05-25 
ky-bot,1.0,300.0, 2020-05-08 
adampatterson,49.0,56.0, 2008-10-28 
ivansf,14.0,24.0, 2009-01-29 
TroyDWhite,10.0,7.0, 2013-02-10 
JaiiRashad34,6.0,1.0, 2018-01-12 
ahmedalazazy,298.0,235.0, 2019-06-12 
Asmae-salhi,4.0,1.0, 2020-04-02 
msakazo,2.0,1.0, 2020-05-25 
MintThitiratChamnan,14.0,26.0, 2021-08-01 
eugeneware,253.0,301.0, 2008-12-03 
datapimp,78.0,102.0, 2008-12-28 
throughnothing,152.0,122.0, 2009-03-09 
esneko,39.0,265.0, 2009-03-17 
thejeshgn,299.0,686.0, 2009-04-21 
Neustradamus,42.0,445.0, 2009-07-14 
carlos8f,238.0,302.0, 2009-07-20 
alexindigo,183.0,125.0, 2009-09-15 
martindale,1691.0,470.0, 2009-09-22 
jprichardson,167.0,1187.0, 2009-11-07 
miguelmota,543.0,1530.0, 2009-12-16 
aprock,4.0,22.0, 2009-12-25 
0-vortex,114.0,199.0, 2010-04-05 
shovon,169.0,159.0, 2010-05-23 
RichAyotte,29.0,36.0, 2010-06-03 
alexeykudinkin,29.0,42.0, 2010-10-05 
lmatteis,79.0,190.0, 2010-12-24 
raisty,31.0,72.0, 2010-12-27 
karlsnyder0,6.0,5.0, 2011-02-25 
mattvick,75.0,7.0, 2011-03-04 
ksetrin,34.0,9.0, 2011-03-17 
fijiwebdesign,121.0,18.0, 2011-05-25 
kantmakm,19.0,6.0, 2011-06-06 
vespakoen,186.0,106.0, 2011-06-26 
marko-jankovic,8.0,136.0, 2011-07-11 
grisaitis,72.0,42.0, 2011-07-11 
martinheidegger,385.0,316.0, 2011-07-14 
onsails,165.0,194.0, 2009-07-21 
suenot,311.0,83.0, 2012-02-10 
hffke927,50.0,186.0, 2012-09-27 
bobomurod,89.0,120.0, 2013-01-31 
amijkko,28.0,11.0, 2015-04-14 
mstraughan86,27.0,5886.0, 2015-09-12 
artemii235,42.0,62.0, 2015-11-09 
soldat13,6.0,39.0, 2016-06-02 
KaterinaToy,0.0,19.0, 2020-02-08 
rjst,7.0,14.0, 2009-03-04 
vsantosu,33.0,24.0, 2012-04-02 
migueljulio,20.0,3.0, 2014-02-12 
tentone,38.0,240.0, 2014-10-11 
FranciscoJGuz,9.0,121.0, 2015-10-29 
nwoods2019,0.0,10.0, 2019-03-06 
standino,21.0,24.0, 2008-04-07 
mattn,1833.0,9790.0, 2008-05-13 
fundon,105.0,831.0, 2008-10-07 
x2c3z4,29.0,98.0, 2011-07-24 
adyliu,16.0,272.0, 2011-11-04 
jiaofeng,32.0,18.0, 2011-12-21 
kroitor,40.0,2639.0, 2011-12-30 
onemouth,18.0,26.0, 2012-02-04 
buffer8848,51.0,36.0, 2012-07-17 
krisjin,122.0,132.0, 2012-10-19 
mikegwhit,11.0,1027.0, 2012-12-05 
kiwifig,42.0,11.0, 2013-03-20 
fastcoinproject,6.0,30.0, 2013-05-28 
johnbey,2.0,0.0, 2013-12-04 
jkk2h,1.0,120.0, 2015-11-05 
lezasantaizi,35.0,25.0, 2014-06-13 
drybeans,63.0,16.0, 2014-08-26 
iNDicat0r,10.0,34.0, 2015-06-30 
freemanZYQ,1647.0,168.0, 2017-01-04 
krodyx,762.0,166.0, 2017-02-24 
mengcoin,2.0,16.0, 2018-01-15 
Jungjaegu,20.0,9.0, 2018-05-25 
batsuuri,3.0,0.0, 2012-06-07 
InduprasadSR,11.0,345.0, 2015-04-30 
erravimishracse,22.0,356.0, 2016-07-13 
NoreplyGao,4.0,11.0, 2017-05-06 
